"student","week","score","remote"
1,1,62.6695233654073,0.536905530559354
1,2,47.5127995011542,0.566495731404436
1,3,56.586562722805,0.546781062051365
1,4,56.3731779906723,0.573349017585295
2,1,78.1136637028778,0.649854418656502
2,2,64.5797790264624,0.577437024888925
2,3,69.747765848233,0.492173570340396
2,4,66.5205840882355,0.41881399678219
3,1,55.7851991488716,0.0329562387982022
3,2,43.1807107291999,0.0289450032507958
3,3,52.8809813304262,0.0288990652093654
3,4,51.0877277217307,0.0272131484783496
4,1,69.2374612415105,0.221542607672031
4,2,55.5331570155645,0.220986935242784
4,3,64.4365184612898,0.20668118883453
4,4,65.9092419731159,0.207677693325682
5,1,77.9118815414491,0.473119311293829
5,2,65.83769705041,0.465718756275883
5,3,74.7142704664137,0.415412283043236
5,4,76.9667334652828,0.453904275850453
6,1,61.7056198090565,0.147751785882224
6,2,46.5890590983054,0.141364357974269
6,3,54.4964215224024,0.116079413016126
6,4,55.9549737298648,0.128581001233791
7,1,77.3017372860035,0.147303531284576
7,2,63.0137190527616,0.168583323984106
7,3,71.2897031781662,0.178642552381387
7,4,69.6725561081811,0.216357544352964
8,1,67.8614129996826,0.495909995432932
8,2,52.7192274074363,0.414172231241167
8,3,61.6197694687073,0.352367623053227
8,4,59.5244873987369,0.318089863660882
9,1,95.7033887239291,0.524834270785627
9,2,81.1946993885219,0.516110438923142
9,3,90.8842267512743,0.512871896370929
9,4,89.2105098889873,0.536938364631522
10,1,64.0577745086655,0.825202003715006
10,2,48.0374703793399,0.703721373873325
10,3,53.9029470146051,0.601936669376187
10,4,55.1745037777969,0.632473925097924
11,1,73.1140481664896,0.17873984756054
11,2,59.0904846722173,0.169843406546221
11,3,66.9772210995679,0.139373311494
11,4,67.9411259569293,0.151722668791371
12,1,74.7269653929549,0.227684549779069
12,2,62.6811325649838,0.220107098607769
12,3,73.2433421894343,0.232548290908076
12,4,77.6853873018428,0.255077868263072
13,1,75.8952100301913,0.217558153497302
13,2,63.2880737907031,0.248930907664478
13,3,70.5687431139792,0.210829563328518
13,4,69.6218325934219,0.228169782897545
14,1,74.2931129954342,0.258764691130397
14,2,63.3290370751225,0.300989592850523
14,3,68.9433102845042,0.28858102852194
14,4,72.0425643502823,0.347343614254426
15,1,78.8153487783414,0.182947569962813
15,2,64.6215142829323,0.213952393951048
15,3,74.7129093838643,0.230990761905962
15,4,73.4456286483797,0.194847309483377
16,1,68.2564599441272,0.622357790199537
16,2,56.0730567765964,0.74334250823586
16,3,64.7342007789101,0.742881243310776
16,4,62.7663017582108,0.731949427264481
17,1,79.9532704667551,0.209541525180425
17,2,63.5362614792262,0.219230565204613
17,3,75.7679509764386,0.245374028646095
17,4,74.8554121579159,0.24329969621063
18,1,85.1941506931828,0.675374132346376
18,2,76.0466135416482,0.786682254165721
18,3,84.0492910407056,0.834878346641351
18,4,82.8189000036117,0.832451194883448
19,1,81.6457019706495,0.336751962563263
19,2,64.4553445256156,0.341141271395262
19,3,73.774909288411,0.323850547198914
19,4,74.3448679716087,0.319796016154101
20,1,97.0468014678177,0.380847250772507
20,2,85.1924650901203,0.334888544781563
20,3,94.7513409534381,0.338504026215124
20,4,91.6061456054274,0.328273050660685
21,1,81.456163051255,0.232359914819217
21,2,71.0562892051899,0.232680496124561
21,3,80.120124483752,0.196934323826465
21,4,81.7673556640286,0.20342473047225
22,1,79.8357101005375,0.0456830819499444
22,2,70.000847582355,0.0406933111072069
22,3,77.4605919585372,0.0350326712944187
22,4,76.7758762475093,0.0348586777990756
23,1,57.2039914520262,0.222838193976724
23,2,45.0200432247559,0.194047936201562
23,3,51.179601759445,0.225658174040491
23,4,52.1853439604999,0.196124798082305
24,1,89.2639932862602,0.153852457019739
24,2,74.8598928007687,0.184487711107426
24,3,82.1956066339049,0.177537536263107
24,4,82.7621614294726,0.19175571501911
25,1,79.4687513328898,0.0397840383185341
25,2,65.1136958830496,0.037204625705475
25,3,73.5521474183767,0.0367067446264307
25,4,71.1422444447409,0.0387267672609748
26,1,68.1607510715799,0.351518645329654
26,2,57.5188934946938,0.421980291075875
26,3,63.2273309409803,0.469549955676455
26,4,63.8094647888675,0.553904060676932
27,1,56.4694365808909,0.36292772542925
27,2,45.6348213426269,0.440564575999933
27,3,52.3247906165062,0.468261286130205
27,4,54.4590486362844,0.562244663803723
28,1,73.7614425384824,0.553491005770788
28,2,62.1215678780435,0.634836006203629
28,3,69.098170149535,0.555913090916797
28,4,68.2605057526209,0.492508609629932
29,1,70.0401851972065,0.177191496816882
29,2,57.2878958793219,0.211549488227582
29,3,65.0754394816047,0.255581563725005
29,4,65.4290136709867,0.232520812326175
30,1,60.5829372427437,0.20920657489231
30,2,47.6211859366087,0.224542136579561
30,3,59.9803675571377,0.266201894386361
30,4,58.692453579341,0.268342772486602
31,1,79.0954270915386,0.175425570506845
31,2,65.5076722354817,0.157158832195943
31,3,72.7302346369109,0.128770991602403
31,4,72.1406451609651,0.112640619436023
32,1,65.9841220578345,0.0902954782312378
32,2,48.622695045852,0.0774357562426227
32,3,58.3086260930189,0.0701744394672892
32,4,56.4224229493218,0.0733715883417415
33,1,75.4052474199818,0.269714408972515
33,2,64.8698349521402,0.307713884117787
33,3,75.6919279689882,0.272390052908927
33,4,71.3677138959924,0.321752739862175
34,1,69.0855692763874,0.538180270924046
34,2,55.7527639310146,0.567298608377477
34,3,62.7314979601432,0.541560311976654
34,4,61.1387294730429,0.583676336511342
35,1,60.6814184259259,0.284413791293539
35,2,48.8797747344692,0.320694268440307
35,3,57.0965998361386,0.36120677769276
35,4,55.5902503362265,0.401982444944788
36,1,76.3132460967628,0.287087226486796
36,2,62.4732795884136,0.275685322168505
36,3,72.9513811236298,0.328525391877768
36,4,73.1203828163021,0.385753715676106
37,1,63.0175880429383,0.203447298585307
37,2,51.0317942597286,0.183501456992132
37,3,59.4073553721278,0.198545963347104
37,4,55.9694682776902,0.193599205318742
38,1,78.0481548999815,0.0762181127207921
38,2,66.8699474140743,0.0806441711138285
38,3,76.2863551074454,0.091880912271557
38,4,75.2497905802852,0.11167115359374
39,1,50.3720652453225,0.258771861250825
39,2,35.2547526216157,0.238084472721482
39,3,43.5517802967926,0.257458253059778
39,4,44.5577642335834,0.306528555414225
40,1,83.8864697645665,0.179259559239588
40,2,72.235278333796,0.210636862814164
40,3,79.0779856334878,0.198744806408556
40,4,76.2312717448803,0.189270627965735
41,1,88.0441468738134,0.350495251800757
41,2,74.527677484804,0.358864600094456
41,3,86.3468855366654,0.408351099215067
41,4,86.8194417681515,0.488831255195022
42,1,73.4742127292798,0.350326150349034
42,2,63.1627599012106,0.354024882874431
42,3,70.4366216180731,0.342640911574631
42,4,67.2067353247615,0.311674544454714
43,1,63.0089367752685,0.131734115487589
43,2,52.5256189418571,0.143329056691659
43,3,61.1098836907637,0.140573371860017
43,4,60.0467667627911,0.135971022887928
44,1,67.7224948583481,0.0546333509595857
44,2,53.3939090508878,0.0558700723292938
44,3,60.1726268288444,0.0640293083902318
44,4,59.5744598121529,0.0633934999908576
