"fte","rate","years","female"
18.4517911405627,43.5577843329985,23.3496695909698,0
27.1700949644395,35.1115485109526,17.5963111090598,1
24.016703391597,39.2109174191461,13.4416433888421,1
29.9299473174604,53.8440435165773,20.9213019151689,0
26.1932573390148,40.871971409344,17.2813397861037,0
15.0254294496943,45.217354716253,17.3334879040519,0
18.5580168692048,45.3259034791481,5.28330438421062,0
20.4322138181582,31.0271494045672,12.6437146276367,0
21.7608671829353,22.6033217787586,4.25454176240714,0
28.7884063727347,56.4590158078426,27.2357250517111,0
21.0112894195154,28.4755160985849,26.689608404155,1
21.0746775691043,33.1081931965741,12.6507111677624,0
24.0897993611184,37.904530302828,20.7286763488944,0
25.0523591526858,49.0694808881011,30.6403175909438,0
28.5023062945764,43.4525478601517,19.1634496685963,0
25.2503332309425,29.165882670556,10.1631673051629,0
14.1864424943924,51.3287325610428,4.0599922648646,0
22.7047393284738,47.1522428927501,14.6929314001432,0
29.3600186395347,40.2463875086715,13.3052755412273,0
13.9584735883202,41.4842993885566,10.004109652275,0
17.0167580246925,43.5206431859322,37.5773096753001,0
22.6195287092391,25.7534812173844,12.1600385668414,0
22.5148701545228,31.6997041280519,25.9952994810044,0
12.6209697445944,23.1016674644717,29.5955359840273,0
18.5817852038119,36.9943149901983,9.76503582814939,0
25.4911882523447,47.9720215272299,28.9419962545185,0
18.7713864936549,35.149923068814,28.4251410131299,0
29.1818702196565,58.0185527559694,4.57305708412309,0
29.6020530193019,40.322977171571,16.1698090602729,0
26.036557108584,44.3891648408749,10.066438557232,0
15.3908961887925,33.6326946779442,7.17618256626292,0
22.040878521061,21.9055000625333,14.6082496171555,0
23.25924205253,35.1545793869373,15.0598825438626,0
13.2186105396711,40.5211010805637,27.2179495744178,0
26.6050923984879,48.3655345080499,14.5645710087558,0
24.4512461449178,38.601577341798,26.0824284773362,0
26.7258457650293,45.6090121935428,19.3126720761388,0
26.9760197926033,47.4751759292665,12.7069926282434,0
29.1079173452327,47.1754779787954,14.8623187546812,0
16.8146746791899,32.7045299231308,28.2681766529684,0
24.3594492410482,41.0652605735675,18.8339228141278,0
26.8412991636905,42.6395398957316,1,0
16.1991503135832,32.0736559709963,16.9001405299264,0
24.7798507928181,35.3968995239092,7.44580499093081,0
26.5063406017012,37.4814913295656,30.2273674101871,0
18.5356912155566,37.0193287895039,1,0
16.0406524207886,47.5147774068144,14.0188958990082,0
26.3212018658519,48.6541297514635,5.93514447534017,0
26.2479290411412,32.9273737709297,16.4135661739726,0
20.3184826311494,18.7803899303093,1,0
12.3396115333215,26.0071537346487,1.60351805376649,0
21.95740145375,37.5820434088613,13.4757904174078,0
17.9072929803618,42.2319266769741,13.278559453868,0
28.7302237149621,43.2430361651829,11.6031949523372,0
22.6168673817433,22.9820194830594,19.1709410762933,0
25.3825895080365,33.2021237898559,13.9336926403712,0
25.5924119134038,48.4722900369141,11.8622279669603,0
22.4538591751453,42.1306244529156,4.7469212472231,0
26.9007285598012,37.4504870570635,8.93376328914678,0
26.8847044602509,51.0080697423765,28.3068971999642,0
26.3504571281374,29.2205788642101,1.15506074449218,1
29.9311312564906,36.3496012317275,9.01013099367265,0
20.6521752562829,41.7368678356363,24.6590796179541,1
10.9878117058083,37.0429841998974,2.58865702013532,0
16.2913050222457,36.2264466153933,18.9280416174486,0
17.5116038888183,44.1351578403195,29.673622738773,0
25.3941890370783,35.0785348041951,26.99706921406,0
24.8584449826217,33.6360086706907,28.8706786335053,0
25.1408678381055,34.278248112008,19.0207812062306,0
22.6932991880132,24.7021496420109,14.2739535045512,0
16.7344972785267,49.5465113445677,23.7764125499759,0
27.2113074146604,48.4686897953106,3.78351496417622,0
21.0289413918046,39.0658385383997,8.72238406568385,0
22.2304970753705,35.9490931743352,21.2319975817538,0
28.6828504024114,55.5925435090115,28.3823695387564,0
11.0572963170683,37.327478074131,21.7085159531125,0
14.3537010747926,47.947918407129,24.739501091382,0
22.0390015266713,45.1344354427068,12.7095229518109,1
19.8432097597849,35.8723568043106,21.9708809368719,0
11.2733403872699,38.8808039161236,12.9349582005593,1
18.8533242856296,33.1124627758577,19.8788832427972,0
24.8174187191076,39.7784271532661,21.6726444532378,0
20.3134141668268,30.4683633784761,11.0219433476086,1
19.8797578835833,36.4927852179935,9.00683246151993,0
11.2931007138408,36.4662221806769,23.0434406918384,0
11.5857330662296,46.3017012110197,18.6589459660154,1
21.0393924089153,28.596642778851,21.3145705413217,0
25.518266769049,34.0772679491093,11.5468316543213,0
25.843850155944,37.8363664478758,6.62488180131209,0
29.258629439281,37.549941111863,39.297770695727,0
22.5177138670009,36.1938037319174,9.51313481531656,1
10.6649346919766,30.5578028622986,10.6913830675092,0
12.6065410998342,33.6337057446182,1,0
19.5829174853861,42.6293200701196,1,0
26.324024034354,34.7657117241283,13.861877051185,0
22.3637333080124,36.6111978582154,12.7936117151339,0
27.3401781580287,43.4468469761637,21.3221728464575,0
17.0813764918732,39.1807400935222,34.099487217919,0
23.197544242516,28.8891485346803,22.0633703504834,0
24.7036336739235,28.5142327521482,20.9221067380697,0
25.9189207088978,39.3943733395774,8.68904929838868,0
28.1048840262256,45.1901044965345,1,0
29.2310288867649,49.2303110090135,8.49094608082146,0
23.3630275332676,36.9978896538617,33.799051616872,0
15.4814800536615,43.1662511759236,6.96522320733425,0
27.1704239868876,51.2493747111598,1,0
27.0686163584668,32.7555766192697,5.608396753134,0
25.8414306071707,37.7806076548568,18.2469303132809,0
15.6456151818357,31.5645541586709,9.43353105626647,0
29.6341439790783,53.5424458510991,14.6041155823339,0
27.8568783644902,38.7391190725802,13.8008189376935,0
21.4906029883075,26.1404119227635,18.0298343408579,0
16.874006741271,35.440743763805,28.3964561185926,0
20.5474786478714,33.3573452334082,1,0
16.9263450242579,31.534665915132,14.4825446202324,0
23.3128563666942,30.8896010320012,16.26670075529,0
27.3092147113123,52.1517688215595,8.28230360943303,0
15.9627679122008,34.3707082218372,18.3149152252947,0
