"expenditure","crimerate","hire"
30823.3587001166,2.05597848398611,0
18304.1622694346,1.13004554016516,0
32754.8656359525,2.15090075321496,0
11516.2429021266,0.52980085555464,0
15088.8332476508,0.952793291769922,0
26374.2283418206,1.4627751740627,0
39144.4971657445,2.25040533114225,0
20623.2728250419,1.29441262548789,0
21265.853185794,1.26534253638238,0
23141.2493505546,1.4846505606547,0
26391.6575798245,1.57602044986561,0
14519.8716801054,0.807201207149774,0
27492.4053700212,1.89776835869998,0
20082.1511697587,1.16430375277996,1
23747.4844775025,1.50629103463143,0
14984.4654915645,0.768752293661237,0
16136.3135886568,1.02513771038502,0
24482.2233474394,1.57768191583455,0
12401.7960522139,0.680785118136555,0
19710.2822473821,1.05614258311689,1
13598.3559045342,0.827713946811855,0
15698.7484598312,0.828462770674378,0
12347.0439764646,0.60277051338926,0
13429.4604207091,0.772209891304374,1
31272.1790248112,2.14597645588219,0
34141.1013352532,1.99090057378635,0
19607.9441091392,1.10277659539133,0
27833.6291695129,1.79703485267237,0
9942.4884814081,0.485474027320743,1
37121.4654108426,2.49406674364582,0
28408.4739793171,1.81236655637622,0
19730.0497607578,1.27314850268885,0
12522.8669898917,0.70718204928562,0
21986.6521313921,1.24887742009014,0
22363.9365403216,1.47417342998087,1
17995.4647419569,1.15630930522457,0
14037.5395496171,0.804202535375953,1
22625.2745750453,1.26795282699168,1
17372.8637523096,1.0320844380185,0
42118.4804263058,2.48088225116953,0
21237.758545427,1.16104250354692,0
36268.2410212073,2.33560898341238,0
39405.8843259665,2.35495617706329,0
19027.6405376289,1.13644111454487,1
12566.7102862106,0.739218512549996,0
30298.3824792017,2.08380877645686,0
19105.9420132699,1.05855312384665,0
24356.66883012,1.41397368954495,0
29571.0815812404,1.82194279879332,0
13810.3199776795,0.822368533816189,0
27650.5215481525,1.7419163249433,0
13227.7307371332,0.761958986148238,1
23998.4126472799,1.38243976607919,0
16055.1569491936,0.891606437414885,1
21507.2123530529,1.37077950499952,0
9899.66234928489,0.557109776884317,0
24451.231688759,1.4482491905801,0
17911.2735346752,1.16375557938591,0
33715.6426032386,2.06824288796633,0
20522.7786734506,1.15902236755937,0
29996.9303671274,1.94816084392369,0
9882.38497889006,0.516649788245559,0
32247.8183914637,2.08374135568738,0
34414.7485297239,2.09497940447181,0
12656.5053469117,0.622755843214691,0
28783.3035055386,1.61260925941169,1
28241.9206655273,1.71722206613049,0
30352.5125907509,1.85170872369781,0
17218.939867317,0.906389728188515,0
16347.9583088633,0.982627959921956,0
20250.8539428821,1.29350257432088,0
40175.7753662353,2.38714982429519,0
10472.9933397785,0.538847004529089,0
15100.4996803237,0.953412386588752,0
24283.4181546972,1.51426294026896,0
26998.5298110229,1.67533160634339,1
8030.75610021238,0.418403988331556,1
16063.2037621635,0.889302876312286,0
25477.1302750853,1.65003399830312,0
27933.3882228875,1.64197487663478,0
14978.7675024118,0.942902982234955,0
12249.2233742421,0.61115894606337,0
37163.1950272892,2.14357292093337,0
32716.2546492271,2.19900227570906,0
9433.40078786898,0.518686203286052,0
26009.7804022816,1.64449827522039,1
12798.4998633986,0.632860397174954,1
21315.3189438091,1.13919236836955,0
31332.9959741008,1.83479685569182,0
28278.1162284849,1.91610008524731,0
40085.6663779279,2.30870799254626,0
28248.5509688017,1.90640242956579,1
25047.7442851185,1.6680871207267,1
25751.2256545688,1.54098054021597,0
32394.8163631788,1.91226855255663,1
21784.522507669,1.24455120833591,0
25492.474796134,1.62813665624708,0
37499.667971669,2.4785301797092,0
24090.8764832774,1.38016573479399,0
16159.4159469864,0.906038500834256,0
32679.509026573,1.96302589550614,1
23351.5299984518,1.3431215970777,0
26407.6704226138,1.61227442789823,0
34459.1872238994,2.17363893054426,0
15581.9634260812,0.922936498746276,1
31156.5381512446,1.93250024458393,0
30704.3018419598,2.04709188546985,0
15593.5955196953,0.959455239586532,0
26841.1044828653,1.74620654247701,0
41495.3421072678,2.42086022580042,0
29469.8344369426,1.91970601864159,0
37750.2132946874,2.32591700833291,0
13749.9586662568,0.805853579659015,0
13338.8668915926,0.707493517175317,1
17804.7010719489,0.974927235860378,0
22251.7478488042,1.46447656257078,0
9936.48217091583,0.522959810681641,0
30847.0650076292,1.93837607651949,1
20917.4911996904,1.30081824446097,0
31686.2013010393,2.0637197396718,0
11457.8093628964,0.526930909603834,0
38473.8887212597,2.3349902681075,0
27635.7957513922,1.61748735699803,0
20921.7178429139,1.36330241663381,0
9138.15311765024,0.429059606418014,1
29317.5327142421,1.84021280892193,1
26226.2043959482,1.51434765430167,0
15428.4242493384,0.910090523585677,1
31753.7859401938,1.95835220552981,1
30302.8060412984,2.09462388558313,0
21234.5162239113,1.19623026028276,1
12449.4958853468,0.632451434619725,0
13726.2682128517,0.786629350390285,0
11690.1240166278,0.564536452293396,1
20345.0233559905,1.08743144012988,0
19966.9840061898,1.29918843787163,0
30207.8884319676,1.74904386838898,0
22741.2757427115,1.29435627348721,0
13598.657753693,0.81152839306742,0
24564.2429957431,1.6652824068442,0
20887.6946260056,1.21643109992146,0
18249.3484166949,1.10552634932101,1
32195.5124046287,2.24625258985907,0
11108.3519791192,0.655465025920421,0
25147.4268649139,1.41085270093754,0
18486.8194322705,1.06665013264865,0
33999.9187874239,2.1101802601479,0
20811.0793252846,1.38479902744293,1
12288.5659730935,0.577199544291943,0
24657.814904604,1.3510521040298,0
11587.3729217601,0.55885249748826,0
25815.6889620488,1.56553519982845,0
18556.8448297217,1.02556293383241,1
23864.0670314627,1.34270225316286,1
17838.465859369,1.10130080813542,0
26282.1175859825,1.80132294632494,0
30526.2675965863,1.97683084337041,0
19142.5119771723,1.14442350305617,1
18782.3779943307,1.00940694101155,0
23044.26764251,1.44171360088512,0
15258.1092404823,0.762401891872287,0
30934.7048545371,1.86986095411703,0
36164.8933631708,2.26807768782601,0
33637.0608632832,2.19980988232419,0
31774.1188562752,1.88191564902663,1
25535.1017971471,1.66818826040253,0
9966.03320509785,0.563713741954416,0
15625.2930476338,0.793195068091154,1
10087.1797321191,0.521405678242445,0
11908.6915496562,0.650404173415154,0
21727.5191045462,1.19807379180565,0
18078.7160549375,1.06800848897547,0
22846.734469013,1.25820261575282,1
9714.81413009986,0.528626116458327,0
38514.993321583,2.39891011221334,0
25084.8723385409,1.47598519921303,0
22199.5353552312,1.29531205724925,0
26298.2262075808,1.44931262023747,1
17542.4196344512,1.04940156126395,0
24000.8812222806,1.54551242338493,0
33192.3298605454,1.91208786005154,0
14953.5402631646,0.80070924423635,1
11567.5639262882,0.64843301102519,0
30605.9293347492,1.75497331097722,0
31315.3655957738,1.78672819174826,1
13771.4823247329,0.843202127143741,0
21169.8008619319,1.26238629221916,1
18411.550931871,1.08221690431237,1
34652.0783721063,2.430073895026,0
30430.8185099361,1.95628850953653,0
21497.8835550957,1.42205519136041,0
30368.8487079167,1.8233834062703,0
11734.0704233994,0.579878841526806,0
